Env	clone	rep	grad	dap	pil
E1	C001	1	14.09	12.8	15
E1	C001	2	14.09	12.2	15
E1	C001	3	14.09	11.2	15
E1	C001	4	14.09	13.1	9
E1	C001	5	14.09	13.6	13
E1	C001	6	14.09	NA	NA
E1	C001	7	14.09	14.3	14
E1	C001	8	14.09	13.8	15
E1	C001	9	14.09	NA	NA
E1	C001	10	14.09	9.5	15
E1	C001	11	14.09	11.4	12
E1	C001	12	14.09	NA	NA
E1	C001	13	14.09	13.7	13
E1	C001	14	14.09	15.9	8
E1	C001	15	14.09	NA	NA
E1	C001	16	14.09	14.5	11
E1	C001	17	14.09	15.9	10
E1	C001	18	14.09	10.3	13
E1	C001	19	14.09	8.9	13
E1	C001	20	14.09	11.2	14
E1	C001	21	14.09	16.1	11
E1	C001	22	14.09	12.7	13
E1	C001	23	14.09	12.3	11
E1	C001	24	14.09	11.9	16
E1	C001	25	14.09	12.9	11
E1	C001	26	14.09	12.5	15
E1	C001	27	14.09	11.8	14
E1	C001	28	14.09	16	12
E1	C001	29	14.09	NA	NA
E1	C001	30	14.09	9.7	12
E1	C002	1	14.09	17.2	18
E1	C002	2	14.09	15.6	18
E1	C002	3	14.09	15.5	14
E1	C002	4	14.09	NA	NA
E1	C002	5	14.09	15.3	19
E1	C002	6	14.09	14.3	18
E1	C002	7	14.09	14.5	17
E1	C002	8	14.09	16	14
E1	C002	9	14.09	14.8	17
E1	C002	10	14.09	15.9	17
E1	C002	11	14.09	16.4	13
E1	C002	12	14.09	16	13
E1	C002	13	14.09	18.1	15
E1	C002	14	14.09	11.7	13
E1	C002	15	14.09	13.9	15
E1	C002	16	14.09	15	14
E1	C002	17	14.09	15.6	14
E1	C002	18	14.09	NA	NA
E1	C002	19	14.09	15.3	17
E1	C002	20	14.09	17.2	14
E1	C002	21	14.09	14.6	17
E1	C002	22	14.09	13.4	18
E1	C002	23	14.09	16.2	17
E1	C002	24	14.09	16.9	19
E1	C002	25	14.09	14.5	19
E1	C002	26	14.09	17.3	17
E1	C002	27	14.09	16.2	18
E1	C002	28	14.09	18	16
E1	C002	29	14.09	16.6	19
E1	C002	30	14.09	16	18
E1	C003	1	14.09	12.9	15
E1	C003	2	14.09	13.2	13
E1	C003	3	14.09	13.3	14
E1	C003	4	14.09	14	17
E1	C003	5	14.09	15.4	15
E1	C003	6	14.09	16.2	13
E1	C003	7	14.09	13.7	16
E1	C003	8	14.09	16.8	15
E1	C003	9	14.09	NA	NA
E1	C003	10	14.09	15.1	15
E1	C003	11	14.09	9.5	13
E1	C003	12	14.09	NA	NA
E1	C003	13	14.09	16.5	12
E1	C003	14	14.09	15.7	10
E1	C003	15	14.09	15.3	12
E1	C003	16	14.09	15.5	12
E1	C003	17	14.09	14.3	14
E1	C003	18	14.09	14.5	14
E1	C003	19	14.09	NA	NA
E1	C003	20	14.09	NA	NA
E1	C003	21	14.09	NA	NA
E1	C003	22	14.09	15.9	13
E1	C003	23	14.09	14	17
E1	C003	24	14.09	NA	NA
E1	C003	25	14.09	NA	NA
E1	C003	26	14.09	14.6	15
E1	C003	27	14.09	15	16
E1	C003	28	14.09	15.5	12
E1	C003	29	14.09	16.6	14
E1	C003	30	14.09	16.6	15
E1	C004	1	14.09	15.2	17
E1	C004	2	14.09	13.2	16
E1	C004	3	14.09	11.3	13
E1	C004	4	14.09	14.6	14
E1	C004	5	14.09	NA	NA
E1	C004	6	14.09	13.8	13
E1	C004	7	14.09	7	14
E1	C004	8	14.09	15.4	14
E1	C004	9	14.09	14.3	14
E1	C004	10	14.09	12.1	15
E1	C004	11	14.09	NA	NA
E1	C004	12	14.09	NA	NA
E1	C004	13	14.09	NA	NA
E1	C004	14	14.09	16	9
E1	C004	15	14.09	NA	NA
E1	C004	16	14.09	14	15
E1	C004	17	14.09	15.4	12
E1	C004	18	14.09	NA	NA
E1	C004	19	14.09	NA	NA
E1	C004	20	14.09	15	13
E1	C004	21	14.09	17	13
E1	C004	22	14.09	15.4	14
E1	C004	23	14.09	NA	NA
E1	C004	24	14.09	16.1	14
E1	C004	25	14.09	4.6	17
E1	C004	26	14.09	NA	NA
E1	C004	27	14.09	15.7	14
E1	C004	28	14.09	15.8	12
E1	C004	29	14.09	11.8	16
E1	C004	30	14.09	NA	NA
E1	C005	1	14.09	10.9	18
E1	C005	2	14.09	17.3	17
E1	C005	3	14.09	NA	NA
E1	C005	4	14.09	NA	NA
E1	C005	5	14.09	13.7	15
E1	C005	6	14.09	10.1	14
E1	C005	7	14.09	15.3	17
E1	C005	8	14.09	14.4	17
E1	C005	9	14.09	13.7	15
E1	C005	10	14.09	13.7	12
E1	C005	11	14.09	17.2	9
E1	C005	12	14.09	14.7	11
E1	C005	13	14.09	15.7	10
E1	C005	14	14.09	15.3	10
E1	C005	15	14.09	17.3	11
E1	C005	16	14.09	17.1	14
E1	C005	17	14.09	14.9	13
E1	C005	18	14.09	NA	NA
E1	C005	19	14.09	15.4	15
E1	C005	20	14.09	16.7	15
E1	C005	21	14.09	14.8	12
E1	C005	22	14.09	14.4	16
E1	C005	23	14.09	16.3	13
E1	C005	24	14.09	11.7	15
E1	C005	25	14.09	16.2	16
E1	C005	26	14.09	16.9	16
E1	C005	27	14.09	15.9	13
E1	C005	28	14.09	15.1	13
E1	C005	29	14.09	14.8	16
E1	C005	30	14.09	13.3	16
E1	C006	1	14.09	13.6	21
E1	C006	2	14.09	16.3	14
E1	C006	3	14.09	13.3	16
E1	C006	4	14.09	14.2	17
E1	C006	5	14.09	12.4	18
E1	C006	6	14.09	11.7	13
E1	C006	7	14.09	NA	NA
E1	C006	8	14.09	11.5	16
E1	C006	9	14.09	11	16
E1	C006	10	14.09	13.3	14
E1	C006	11	14.09	12.8	12
E1	C006	12	14.09	NA	NA
E1	C006	13	14.09	12.7	11
E1	C006	14	14.09	12.7	14
E1	C006	15	14.09	10.6	17
E1	C006	16	14.09	13.2	12
E1	C006	17	14.09	12.1	13
E1	C006	18	14.09	13.7	15
E1	C006	19	14.09	11.9	14
E1	C006	20	14.09	12.6	15
E1	C006	21	14.09	15.6	15
E1	C006	22	14.09	NA	NA
E1	C006	23	14.09	12.7	14
E1	C006	24	14.09	10.2	17
E1	C006	25	14.09	12.9	18
E1	C006	26	14.09	NA	NA
E1	C006	27	14.09	NA	NA
E1	C006	28	14.09	11.3	18
E1	C006	29	14.09	12.6	20
E1	C006	30	14.09	13.3	18
E1	C007	1	14.09	13.05	19.5
E1	C007	2	14.09	5.79	17.5
E1	C007	3	14.09	10.03	13
E1	C007	4	14.09	13.53	18.5
E1	C007	5	14.09	13.85	17
E1	C007	6	14.09	NA	NA
E1	C007	7	14.09	13.31	18
E1	C007	8	14.09	NA	NA
E1	C007	9	14.09	12.73	18.5
E1	C007	10	14.09	NA	NA
E1	C007	11	14.09	12.73	19.5
E1	C007	12	14.09	13.85	15.5
E1	C007	13	14.09	16.36	15
E1	C007	14	14.09	12.48	20.5
E1	C007	15	14.09	13.94	15.5
E1	C007	16	14.09	9.68	18
E1	C007	17	14.09	NA	NA
E1	C007	18	14.09	11.94	19.5
E1	C007	19	14.09	12.25	21
E1	C007	20	14.09	11.46	17.5
E1	C007	21	14.09	15.22	18.5
E1	C007	22	14.09	NA	NA
E1	C007	23	14.09	14.61	16
E1	C007	24	14.09	NA	NA
E1	C007	25	14.09	11.65	15.5
E1	C007	26	14.09	13.69	17.5
E1	C007	27	14.09	15.28	17
E1	C007	28	14.09	NA	NA
E1	C007	29	14.09	12.16	18
E1	C007	30	14.09	12.86	18
E1	C008	1	14.09	11.62	16
E1	C008	2	14.09	9.55	16
E1	C008	3	14.09	11.84	16
E1	C008	4	14.09	10.35	16
E1	C008	5	14.09	14.01	18.5
E1	C008	6	14.09	14.07	18
E1	C008	7	14.09	11.52	17
E1	C008	8	14.09	7.48	14.5
E1	C008	9	14.09	11.62	15.5
E1	C008	10	14.09	NA	NA
E1	C008	11	14.09	NA	NA
E1	C008	12	14.09	13.15	15
E1	C008	13	14.09	14.32	16
E1	C008	14	14.09	10.5	15.5
E1	C008	15	14.09	9.99	16.5
E1	C008	16	14.09	7.07	14.5
E1	C008	17	14.09	14.39	18
E1	C008	18	14.09	13.43	16
E1	C008	19	14.09	7.16	13.5
E1	C008	20	14.09	13.53	18.5
E1	C008	21	14.09	13.18	15
E1	C008	22	14.09	12.67	14
E1	C008	23	14.09	11.65	13.5
E1	C008	24	14.09	NA	NA
E1	C008	25	14.09	12.73	14.5
E1	C008	26	14.09	9.33	15.5
E1	C008	27	14.09	13.05	17
E1	C008	28	14.09	14.67	14
E1	C008	29	14.09	12.8	14
E1	C008	30	14.09	NA	NA
E1	C009	1	14.09	13.6	22
E1	C009	2	14.09	15	20
E1	C009	3	14.09	12.7	21
E1	C009	4	14.09	15.9	17
E1	C009	5	14.09	16	19
E1	C009	6	14.09	12.2	16
E1	C009	7	14.09	NA	NA
E1	C009	8	14.09	NA	NA
E1	C009	9	14.09	NA	NA
E1	C009	10	14.09	16.1	19
E1	C009	11	14.09	NA	NA
E1	C009	12	14.09	11.5	14
E1	C009	13	14.09	15.3	15
E1	C009	14	14.09	14	14
E1	C009	15	14.09	NA	NA
E1	C009	16	14.09	11.6	19
E1	C009	17	14.09	12.8	17
E1	C009	18	14.09	16.1	18
E1	C009	19	14.09	NA	NA
E1	C009	20	14.09	11.9	19
E1	C009	21	14.09	NA	NA
E1	C009	22	14.09	NA	NA
E1	C009	23	14.09	16	18
E1	C009	24	14.09	12.4	22
E1	C009	25	14.09	11.7	20
E1	C009	26	14.09	NA	NA
E1	C009	27	14.09	NA	NA
E1	C009	28	14.09	16.5	19
E1	C009	29	14.09	14.5	21
E1	C009	30	14.09	16.6	17
E1	C010	1	14.09	15.18	17
E1	C010	2	14.09	16.23	14.5
E1	C010	3	14.09	15.06	17.5
E1	C010	4	14.09	15.41	19.5
E1	C010	5	14.09	14.64	18
E1	C010	6	14.09	14.77	17
E1	C010	7	14.09	14.2	19
E1	C010	8	14.09	14.64	17
E1	C010	9	14.09	14.45	18.5
E1	C010	10	14.09	16.33	16
E1	C010	11	14.09	16.49	16
E1	C010	12	14.09	15.44	19.5
E1	C010	13	14.09	16.23	17.5
E1	C010	14	14.09	17.19	18
E1	C010	15	14.09	15.63	16
E1	C010	16	14.09	17.35	18
E1	C010	17	14.09	16.49	18
E1	C010	18	14.09	15.22	16.5
E1	C010	19	14.09	18.3	16.5
E1	C010	20	14.09	13.05	19.5
E1	C010	21	14.09	18.14	17.5
E1	C010	22	14.09	NA	NA
E1	C010	23	14.09	17.79	18
E1	C010	24	14.09	15.92	16.5
E1	C010	25	14.09	12.57	17
E1	C010	26	14.09	15.6	19
E1	C010	27	14.09	16.74	16.5
E1	C010	28	14.09	15.53	18
E1	C010	29	14.09	18.84	13.5
E1	C010	30	14.09	14.87	16.5
E1	C011	1	14.09	14.87	18.5
E1	C011	2	14.09	15.98	17
E1	C011	3	14.09	17.95	17.5
E1	C011	4	14.09	15.72	16.5
E1	C011	5	14.09	15.72	17
E1	C011	6	14.09	15.22	18
E1	C011	7	14.09	17	15.5
E1	C011	8	14.09	14.01	18.5
E1	C011	9	14.09	NA	NA
E1	C011	10	14.09	NA	NA
E1	C011	11	14.09	17.79	16.5
E1	C011	12	14.09	12.67	17
E1	C011	13	14.09	NA	NA
E1	C011	14	14.09	18.49	17
E1	C011	15	14.09	17.35	19.5
E1	C011	16	14.09	15.28	16
E1	C011	17	14.09	14.29	11.5
E1	C011	18	14.09	16.14	18.5
E1	C011	19	14.09	16.39	21.5
E1	C011	20	14.09	12.8	22.5
E1	C011	21	14.09	4.93	20
E1	C011	22	14.09	16.23	17
E1	C011	23	14.09	18.62	16.5
E1	C011	24	14.09	17.63	15.5
E1	C011	25	14.09	14.23	19.5
E1	C011	26	14.09	14.16	16.5
E1	C011	27	14.09	11.62	22
E1	C011	28	14.09	14.55	20.5
E1	C011	29	14.09	15.79	17.5
E1	C011	30	14.09	18.08	15
E1	C012	1	14.09	NA	NA
E1	C012	2	14.09	15.5	16
E1	C012	3	14.09	14.6	15
E1	C012	4	14.09	NA	NA
E1	C012	5	14.09	14.2	16
E1	C012	6	14.09	11.1	15
E1	C012	7	14.09	NA	NA
E1	C012	8	14.09	16	15
E1	C012	9	14.09	NA	NA
E1	C012	10	14.09	15.8	13
E1	C012	11	14.09	NA	NA
E1	C012	12	14.09	NA	NA
E1	C012	13	14.09	NA	NA
E1	C012	14	14.09	NA	NA
E1	C012	15	14.09	12.7	15
E1	C012	16	14.09	NA	NA
E1	C012	17	14.09	NA	NA
E1	C012	18	14.09	9.4	16
E1	C012	19	14.09	13.1	16
E1	C012	20	14.09	9.4	18
E1	C012	21	14.09	NA	NA
E1	C012	22	14.09	11.6	17
E1	C012	23	14.09	13.7	15
E1	C012	24	14.09	NA	NA
E1	C012	25	14.09	13.1	17
E1	C012	26	14.09	NA	NA
E1	C012	27	14.09	NA	NA
E1	C012	28	14.09	10.3	13
E1	C012	29	14.09	NA	NA
E1	C012	30	14.09	12.3	15
E1	C013	1	14.09	14.58	16
E1	C013	2	14.09	12.73	17
E1	C013	3	14.09	12.35	16.5
E1	C013	4	14.09	14.23	16.5
E1	C013	5	14.09	14.01	17.5
E1	C013	6	14.09	13.69	19
E1	C013	7	14.09	14.01	16.5
E1	C013	8	14.09	14.77	17.5
E1	C013	9	14.09	15.37	16.5
E1	C013	10	14.09	15.44	17
E1	C013	11	14.09	12.29	18
E1	C013	12	14.09	12.73	14.5
E1	C013	13	14.09	16.71	17
E1	C013	14	14.09	8.91	15
E1	C013	15	14.09	16.71	16.5
E1	C013	16	14.09	10.92	16
E1	C013	17	14.09	14.77	19
E1	C013	18	14.09	13.75	18.5
E1	C013	19	14.09	14.13	18.5
E1	C013	20	14.09	16.55	17
E1	C013	21	14.09	15.41	15
E1	C013	22	14.09	15.85	14
E1	C013	23	14.09	14.48	16.5
E1	C013	24	14.09	14.96	14.5
E1	C013	25	14.09	16.04	15
E1	C013	26	14.09	16.65	15
E1	C013	27	14.09	15.28	17
E1	C013	28	14.09	11.01	19
E1	C013	29	14.09	13.27	18.5
E1	C014	1	14.09	10.5	17
E1	C014	2	14.09	11	15
E1	C014	3	14.09	13.2	16
E1	C014	4	14.09	NA	NA
E1	C014	5	14.09	9.2	15
E1	C014	6	14.09	13.9	16
E1	C014	7	14.09	12.4	15
E1	C014	8	14.09	15.1	15
E1	C014	9	14.09	10.7	17
E1	C014	10	14.09	10.6	13
E1	C014	11	14.09	NA	NA
E1	C014	12	14.09	12.5	13
E1	C014	13	14.09	11.7	14
E1	C014	14	14.09	14.1	11
E1	C014	15	14.09	8.2	10
E1	C014	16	14.09	10.9	13
E1	C014	17	14.09	11	12
E1	C014	18	14.09	12.3	15
E1	C014	19	14.09	14.2	15
E1	C014	20	14.09	14.3	16
E1	C014	21	14.09	13.1	16
E1	C014	22	14.09	12.7	15
E1	C014	23	14.09	10.7	13
E1	C014	24	14.09	13.4	16
E1	C014	25	14.09	12	16
E1	C014	26	14.09	11.9	18
E1	C014	27	14.09	13.6	16
E1	C014	28	14.09	13.9	17
E1	C014	29	14.09	13.4	15
E1	C014	30	14.09	10.3	15
E1	C015	1	14.09	NA	NA
E1	C015	2	14.09	10.8	19
E1	C015	3	14.09	13.9	14
E1	C015	4	14.09	9.5	13
E1	C015	5	14.09	10.6	16
E1	C015	6	14.09	15	13
E1	C015	7	14.09	NA	NA
E1	C015	8	14.09	10.2	14
E1	C015	9	14.09	12.5	15
E1	C015	10	14.09	NA	NA
E1	C015	11	14.09	15.1	10
E1	C015	12	14.09	NA	NA
E1	C015	13	14.09	NA	NA
E1	C015	14	14.09	13.8	13
E1	C015	15	14.09	16	11
E1	C015	16	14.09	NA	NA
E1	C015	17	14.09	14	12
E1	C015	18	14.09	15.7	10
E1	C015	19	14.09	NA	NA
E1	C015	20	14.09	NA	NA
E1	C015	21	14.09	14.7	14
E1	C015	22	14.09	14.3	14
E1	C015	23	14.09	15.6	10
E1	C015	24	14.09	NA	NA
E1	C015	25	14.09	10.3	16
E1	C015	26	14.09	11	17
E1	C015	27	14.09	13.4	15
E1	C015	28	14.09	10	16
E1	C015	29	14.09	12.1	13
E1	C015	30	14.09	NA	NA
E1	C016	1	14.09	12.7	20
E1	C016	2	14.09	15.2	14
E1	C016	3	14.09	15.3	15
E1	C016	4	14.09	12.7	20
E1	C016	5	14.09	14.8	11
E1	C016	6	14.09	13.4	18
E1	C016	7	14.09	14	17
E1	C016	8	14.09	NA	NA
E1	C016	9	14.09	NA	NA
E1	C016	10	14.09	14.3	16
E1	C016	11	14.09	15.2	14
E1	C016	12	14.09	14	13
E1	C016	13	14.09	15.3	11
E1	C016	14	14.09	16.4	10
E1	C016	15	14.09	13.7	17
E1	C016	16	14.09	14.7	14
E1	C016	17	14.09	14.5	14
E1	C016	18	14.09	15.3	14
E1	C016	19	14.09	NA	NA
E1	C016	20	14.09	17.5	15
E1	C016	21	14.09	17.5	14
E1	C016	22	14.09	8.1	16
E1	C016	23	14.09	NA	NA
E1	C016	24	14.09	11.7	18
E1	C016	25	14.09	NA	NA
E1	C016	26	14.09	9.8	21
E1	C016	27	14.09	16.5	15
E1	C016	28	14.09	10.3	16
E1	C016	29	14.09	13.8	17
E1	C016	30	14.09	13.8	20
E1	C017	1	14.09	15	22
E1	C017	2	14.09	15.8	20
E1	C017	3	14.09	13.9	20
E1	C017	4	14.09	12.9	16
E1	C017	5	14.09	15	20
E1	C017	6	14.09	13.7	21
E1	C017	7	14.09	15.6	20
E1	C017	8	14.09	14.7	16
E1	C017	9	14.09	13.2	21
E1	C017	10	14.09	11.7	18
E1	C017	11	14.09	NA	NA
E1	C017	12	14.09	15.9	13
E1	C017	13	14.09	17.7	13
E1	C017	14	14.09	17.6	12
E1	C017	15	14.09	12.4	15
E1	C017	16	14.09	NA	NA
E1	C017	17	14.09	14.5	14
E1	C017	18	14.09	13.3	15
E1	C017	19	14.09	17.6	14
E1	C017	20	14.09	15.9	20
E1	C017	21	14.09	14.8	19
E1	C017	22	14.09	15.8	19
E1	C017	23	14.09	12.2	18
E1	C017	24	14.09	13.7	20
E1	C017	25	14.09	15.8	20
E1	C017	26	14.09	16.1	19
E1	C017	27	14.09	15.1	20
E1	C017	28	14.09	15.4	17
E1	C017	29	14.09	16	18
E1	C017	30	14.09	16.2	20
E1	C018	1	14.09	15.82	17
E1	C018	2	14.09	14.64	18
E1	C018	3	14.09	12.64	18.5
E1	C018	4	14.09	14.55	15.5
E1	C018	5	14.09	15.34	16
E1	C018	6	14.09	16.62	18
E1	C018	7	14.09	15.98	17
E1	C018	8	14.09	15.69	18
E1	C018	9	14.09	14.8	17
E1	C018	10	14.09	16.07	17
E1	C018	11	14.09	NA	NA
E1	C018	12	14.09	NA	NA
E1	C018	13	14.09	16.23	17.5
E1	C018	14	14.09	16.39	18.5
E1	C018	15	14.09	13.62	20.5
E1	C018	16	14.09	15.09	17.5
E1	C018	17	14.09	14.96	19
E1	C018	18	14.09	15.22	18
E1	C018	19	14.09	14.77	19.5
E1	C018	20	14.09	15.98	18.5
E1	C019	1	14.09	12.41	22.5
E1	C019	2	14.09	15.34	20
E1	C019	3	14.09	14.55	22.5
E1	C019	4	14.09	13.69	22
E1	C019	5	14.09	11.36	20
E1	C019	6	14.09	14.9	20
E1	C019	7	14.09	16.3	21
E1	C019	8	14.09	13.37	22
E1	C019	9	14.09	15.02	21
E1	C019	10	14.09	16.2	19.5
E1	C019	11	14.09	8.09	21
E1	C019	12	14.09	15.34	20.5
E1	C019	13	14.09	16.36	20.5
E1	C019	14	14.09	14.07	22
E1	C019	15	14.09	16.62	20
E1	C019	16	14.09	6.37	20
E1	C019	17	14.09	NA	NA
E1	C019	18	14.09	15.98	22.5
E1	C019	19	14.09	14.01	20.5
E1	C019	20	14.09	16.3	21
E1	C019	21	14.09	NA	NA
E1	C019	22	14.09	15.72	14.5
E1	C019	23	14.09	14.26	18
E1	C019	24	14.09	15.76	18.5
E1	C019	25	14.09	NA	NA
E1	C019	26	14.09	13.37	21.5
E1	C019	27	14.09	13.31	23.5
E1	C019	28	14.09	14.13	21
E1	C019	29	14.09	NA	NA
E1	C019	30	14.09	14.58	19.5
E1	C020	1	14.09	15.4	24
E1	C020	2	14.09	13.2	23
E1	C020	3	14.09	15.6	17
E1	C020	4	14.09	13.4	23
E1	C020	5	14.09	13.6	21
E1	C020	6	14.09	15.5	18
E1	C020	7	14.09	12.8	21
E1	C020	8	14.09	13.9	21
E1	C020	9	14.09	16.4	18
E1	C020	10	14.09	9.3	19
E1	C020	11	14.09	16.4	19
E1	C020	12	14.09	11.1	18
E1	C020	13	14.09	16.8	14
E1	C020	14	14.09	17	14
E1	C020	15	14.09	16	13
E1	C020	16	14.09	14.6	16
E1	C020	17	14.09	6.9	14
E1	C020	18	14.09	NA	NA
E1	C020	19	14.09	NA	NA
E1	C020	20	14.09	NA	NA
E1	C020	21	14.09	15.4	18
E1	C020	22	14.09	14.1	20
E1	C020	23	14.09	16.8	18
E1	C020	24	14.09	14.4	20
E1	C020	25	14.09	14.4	21
E1	C020	26	14.09	16.5	20
E1	C020	27	14.09	NA	NA
E1	C020	28	14.09	18.1	15
E1	C020	29	14.09	14.7	19
E1	C020	30	14.09	14.8	17
E1	C021	1	14.09	14.2	18
E1	C021	2	14.09	16.9	16
E1	C021	3	14.09	19.1	14
E1	C021	4	14.09	15.1	16
E1	C021	5	14.09	16.2	15
E1	C021	6	14.09	13.4	17
E1	C021	7	14.09	NA	NA
E1	C021	8	14.09	15.9	18
E1	C021	9	14.09	16.8	15
E1	C021	10	14.09	15	16
E1	C021	11	14.09	17.9	13
E1	C021	12	14.09	NA	NA
E1	C021	13	14.09	15.6	13
E1	C021	14	14.09	15.3	13
E1	C021	15	14.09	13.1	13
E1	C021	16	14.09	NA	NA
E1	C021	17	14.09	14.2	14
E1	C021	18	14.09	18	15
E1	C021	19	14.09	13.2	16
E1	C021	20	14.09	14.6	15
E1	C021	21	14.09	NA	NA
E1	C021	22	14.09	16.8	16
E1	C021	23	14.09	17.2	16
E1	C021	24	14.09	16.8	14
E1	C021	25	14.09	14.8	17
E1	C021	26	14.09	17	17
E1	C021	27	14.09	15.8	16
E1	C021	28	14.09	NA	NA
E1	C021	29	14.09	11.3	17
E1	C021	30	14.09	11.5	20
E1	C022	1	14.09	13.5	16
E1	C022	2	14.09	15.2	18
E1	C022	3	14.09	13.2	17
E1	C022	4	14.09	13.8	12
E1	C022	5	14.09	10.5	17
E1	C022	6	14.09	7.4	15
E1	C022	7	14.09	16.4	14
E1	C022	8	14.09	13.1	17
E1	C022	9	14.09	11.5	15
E1	C022	10	14.09	9.4	17
E1	C022	11	14.09	NA	NA
E1	C022	12	14.09	NA	NA
E1	C022	13	14.09	NA	NA
E1	C022	14	14.09	15.8	10
E1	C022	15	14.09	NA	NA
E1	C022	16	14.09	13.2	15
E1	C022	17	14.09	NA	NA
E1	C022	18	14.09	16	13
E1	C022	19	14.09	8.6	14
E1	C022	20	14.09	NA	NA
E1	C022	21	14.09	14.5	16
E1	C022	22	14.09	15.7	12
E1	C022	23	14.09	NA	NA
E1	C022	24	14.09	13	13
E1	C022	25	14.09	16.7	14
E1	C022	26	14.09	11.9	17
E1	C022	27	14.09	15.1	18
E1	C022	28	14.09	10.3	18
E1	C022	29	14.09	14.3	14
E1	C022	30	14.09	13.1	18
E1	C023	1	14.09	NA	NA
E1	C023	2	14.09	16.14	20.5
E1	C023	3	14.09	16.49	23
E1	C023	4	14.09	16.81	21
E1	C023	5	14.09	15.66	23.5
E1	C023	6	14.09	17.03	23
E1	C023	7	14.09	16.9	22
E1	C023	8	14.09	NA	NA
E1	C023	9	14.09	17.51	21.5
E1	C023	10	14.09	15.92	22
E1	C023	11	14.09	14.64	21
E1	C023	12	14.09	16.93	20.5
E1	C023	13	14.09	16.49	22
E1	C023	14	14.09	12.06	22
E1	C023	15	14.09	16.93	21.5
E1	C023	16	14.09	NA	NA
E1	C023	17	14.09	15.82	22.5
E1	C023	18	14.09	15.02	23
E1	C023	19	14.09	NA	NA
E1	C023	20	14.09	11.59	18.5
E1	C023	21	14.09	NA	NA
E1	C023	22	14.09	16.42	21.5
E1	C023	23	14.09	11.55	21.5
E1	C023	24	14.09	16.55	21
E1	C023	25	14.09	11.94	22
E1	C023	26	14.09	14.8	23.5
E1	C023	27	14.09	14.83	24
E1	C023	28	14.09	16.2	24
E1	C023	29	14.09	16.87	21
E1	C023	30	14.09	17.41	21.5
E1	C024	1	14.09	16.77	16
E1	C024	2	14.09	14.55	16.5
E1	C024	3	14.09	15.92	15
E1	C024	4	14.09	15.18	16.5
E1	C024	5	14.09	17.03	18
E1	C024	6	14.09	16.04	16
E1	C024	7	14.09	18.59	15.5
E1	C024	8	14.09	17.38	16
E1	C024	9	14.09	17.35	13
E1	C024	10	14.09	11.33	17.5
E1	C024	11	14.09	19.35	15
E1	C024	12	14.09	14.36	18
E1	C024	13	14.09	17.73	17
E1	C024	14	14.09	17.67	15.5
E1	C024	15	14.09	14.55	18.5
E1	C024	16	14.09	15.92	17
E1	C024	17	14.09	17.35	14.5
E1	C024	18	14.09	14.71	17
E1	C024	19	14.09	16.81	16
E1	C024	20	14.09	11.24	18.5
E1	C024	21	14.09	18.84	15
E1	C024	22	14.09	16.04	15
E1	C024	23	14.09	NA	NA
E1	C024	24	14.09	13.05	14.5
E1	C024	25	14.09	12.25	16.5
E1	C024	26	14.09	15.95	16
E1	C024	27	14.09	15.37	18.5
E1	C024	28	14.09	17.67	16
E1	C024	29	14.09	14.93	17
E1	C024	30	14.09	14.48	17.5
E1	C025	1	14.09	17.19	14
E1	C025	2	14.09	7.32	13
E1	C025	3	14.09	16.17	16.5
E1	C025	4	14.09	8.5	15
E1	C025	5	14.09	NA	NA
E1	C025	6	14.09	16.04	15
E1	C025	7	14.09	16.23	17.5
E1	C025	8	14.09	15.44	21.5
E1	C025	9	14.09	15.5	15
E1	C025	10	14.09	15.82	15
E1	C025	11	14.09	NA	NA
E1	C025	12	14.09	16.55	16
E1	C025	13	14.09	15.28	16.5
E1	C025	14	14.09	14.48	14.5
E1	C025	15	14.09	16.65	17
E1	C025	16	14.09	NA	NA
E1	C025	17	14.09	15.88	15
E1	C025	18	14.09	NA	NA
E1	C025	19	14.09	10.66	15
E1	C025	20	14.09	16.17	15
E1	C025	21	14.09	13.81	16
E1	C025	22	14.09	14.8	13.5
E1	C025	23	14.09	16.39	15
E1	C025	24	14.09	17.19	13.5
E1	C025	25	14.09	4.84	14.5
E1	C025	26	14.09	14.9	14.5
E1	C025	27	14.09	16.68	16.5
E1	C025	28	14.09	16.33	17.5
E1	C025	29	14.09	NA	NA
E1	C025	30	14.09	16.33	12.5
E1	C026	1	14.09	NA	NA
E1	C026	2	14.09	14.8	17
E1	C026	3	14.09	13.94	18.5
E1	C026	4	14.09	13.37	21
E1	C026	5	14.09	12.89	19
E1	C026	6	14.09	NA	NA
E1	C026	7	14.09	17.67	17.5
E1	C026	8	14.09	9.33	16.5
E1	C026	9	14.09	14.64	20
E1	C026	10	14.09	11.78	16.5
E1	C026	11	14.09	14.74	18.5
E1	C026	12	14.09	16.14	17
E1	C026	13	14.09	13.85	18.5
E1	C026	14	14.09	NA	NA
E1	C026	15	14.09	15.09	20.5
E1	C026	16	14.09	NA	NA
E1	C026	17	14.09	13.62	13
E1	C026	18	14.09	NA	NA
E1	C026	19	14.09	13.31	21
E1	C026	20	14.09	18.21	15.5
E1	C026	21	14.09	NA	NA
E1	C026	22	14.09	16.71	16.5
E1	C026	23	14.09	NA	NA
E1	C026	24	14.09	11.78	16
E1	C026	25	14.09	16.71	14
E1	C026	26	14.09	15.02	19
E1	C026	27	14.09	15.12	18.5
